director_id,name,birthYear,deathYear,primaryProfession,knownForTitles
nm0003235,Julian Keith Loren,1969,\N,director,tt0221400
nm0009420,Daniel Absil,1937,\N,director,"tt0176997,tt0341901,tt1068866"
nm0013837,Morteza Ahadi,1963,\N,director,"tt0269849,tt2700240"
nm0023039,Gil Altschul,1921,1982,director,"tt0257412,tt0258314"
nm0024767,Edward Amet,1860,1948,director,"tt0229265,tt0229360,tt0229399"
nm0025027,Aslam Amlani,1971,\N,director,tt0166177
nm0027975,Metodi Andonov,1932,1974,director,"tt0169618,tt0169958,tt0170313,tt0068814"
nm0028345,Natalya Andreychenko,1966,\N,director,tt0111150
nm0030740,Zsuzsa Antala,1968,\N,director,"tt0169975,tt0155416"
nm0030787,Daril Anthes,1966,\N,director,"tt0278049,tt0382313,tt0330927,tt0221388"
nm0031643,Lino António,1927,1996,director,tt0035077
nm0033482,Özcan Arca,1943,\N,director,"tt20771748,tt0282000,tt30458273,tt5013214"
nm0041705,Ellen Auerbach,1906,2004,director,"tt12187596,tt0230698"
nm0045072,Hanumappa Vishwanath Babu,1903,1968,director,"tt0154405,tt0154747,tt0154712,tt0154228"
nm0045943,Sarvottam Badami,1910,2005,director,"tt0155246,tt0155091,tt0155162,tt0154751"
nm0047433,Patrick Bailey,1947,\N,director,tt0087166
nm0049456,Sabin Balasa,1932,2008,director,"tt0145772,tt0145754,tt0141977,tt0172951"
nm0051204,Christiane Balthasar,1970,\N,director,"tt0240719,tt7928662,tt13780692,tt0806910"
nm0052331,Jyotish Bannerjee,1887,\N,director,"tt0155163,tt0154854,tt0154718,tt0154839"
nm0058382,Gabriel Barta,1923,1972,director,"tt0237357,tt0172223,tt0237146,tt0237536"
nm0059399,Nip Barua,1925,1992,director,"tt0155813,tt14018662,tt0156067,tt0156140"
nm0060424,Txabi Basterretxea,1954,2010,director,"tt0276226,tt0496176"
nm0063052,Frank Goodenough Bayly,1873,1923,director,"tt0195114,tt0333797"
nm0063313,Yakov Bazelyan,1925,1990,director,"tt1512865,tt5214312,tt0335515,tt0165923"
nm0066875,Joseph Behar,1926,2021,director,"tt0044262,tt0058796,tt0247869,tt0056758"
nm0080286,Harishchandra Sakharam Bhatavdekar,1868,1958,director,"tt0273438,tt0156186,tt0156019,tt0155850"
nm0084707,Libero Bizzarri,1926,1986,director,"tt27871269,tt0173616,tt0173858,tt0187300"
nm0084786,Vera Belogrlic,1926,2015,director,"tt0324903,tt0324899,tt0324839,tt0324803"
nm0089353,Marcel Blossoms,1904,1965,director,"tt0190516,tt0172501"
nm0092924,Raymond Boley,1915,2003,director,tt0210222
nm0097566,Francesco Bortolini,1943,2016,director,"tt0086363,tt0168675,tt0089278"
nm0097866,Chitta Bose,1907,1993,director,"tt0212935,tt0156395,tt0049643,tt0156988"
nm0102296,Mark Boyle,1934,2005,director,"tt0064084,tt1528548"
nm0111299,Konstantin Bromberg,1939,2020,director,"tt0073833,tt0078673,tt0412655,tt0083730"
nm0121417,Yacob Burgiu,1941,2003,director,"tt27430880,tt0266368,tt0352303,tt0352249"
nm0123907,Linda Joy Busby,1950,1984,director,tt0272702
nm0124936,H.B. Butler,1904,1991,director,tt0062110
nm0128249,C. Ernest Cadle,1886,1944,director,"tt0017721,tt10809810"
nm0129340,Andrei Calarasu,1922,2014,director,"tt0154134,tt0180159,tt0183665,tt0175289"
nm0129699,David N. Caldwell,1933,2000,director,"tt0078676,tt0923475"
nm0130706,Virgil Calotescu,1928,1991,director,"tt0187446,tt0077120,tt0062316,tt0068878"
nm0136650,Jose Cardoso,1930,2013,director,"tt0094246,tt0125688,tt0125758"
nm0139912,Lawrence Carra,1909,2006,director,"tt0042138,tt0085176"
nm0141225,Dick Carson,1929,2021,director,"tt0058805,tt0062556,tt0055691,tt0072584"
nm0149271,Emil Chaberski,1891,1967,director,"tt0030330,tt0032163,tt0151089"
nm0151543,Raja Chandrasekhar,1904,1971,director,"tt0157330,tt0157332,tt0158138,tt0158178"
nm0154206,Kartick Chattopadhyay,1912,1989,director,"tt0144023,tt0143559,tt0158022,tt0157726"
nm0155892,Nedelcho Chernev,1923,2000,director,"tt0238343,tt0238439,tt0330650,tt0348578"
nm0157373,Liviu Ghigort,1925,1979,director,tt0137155
nm0159000,Tom Chomont,1942,2010,director,"tt13249888,tt13249874,tt13618324,tt8789206"
nm0167240,Claire Clouzot,1933,2020,director,"tt0368478,tt0217018,tt3146022,tt0082523"
nm0167727,Nell Cobar,1916,1993,director,"tt0173576,tt0172408,tt0172159,tt0172809"
nm0181361,Jayne Cortez,1934,2012,director,"tt0196277,tt0230985,tt0084514,tt0089742"
nm0187521,Manuel Granjeiro Crespo,1940,1983,director,"tt0063542,tt0077998"
nm0191592,Mark Cullingham,1941,1995,director,"tt0176357,tt0202179,tt0066637,tt0165592"
nm0195270,Grazio D'Angelo,1932,2023,director,"tt0375503,tt1171896,tt0401958,tt0358790"
nm0196988,Mik Dahl-Mikkelsen,1915,1982,director,"tt0169899,tt0169898"
nm0200493,Boyan Danovski,1899,1976,director,tt0278098
nm0201401,Roy Darling,1884,1956,director,"tt0346840,tt0276305"
nm0207198,Marcel De Backer,1921,1990,director,tt0220707
nm0207296,Archie de Bear,1889,1970,director,"tt0152128,tt0181260"
nm0209558,Jacques Lasseyne,1888,1944,director,"tt0013620,tt0011594"
nm0220846,V.C. Desai,1913,1946,director,"tt0213945,tt0214156,tt0031888,tt0213946"
nm0223267,Ralph Dewsbury,1882,1959,director,"tt0202975,tt0327811,tt0348400,tt0195785"
nm0229794,Petar Dobrinovic,1853,1923,director,tt0269972
nm0231060,Anatoli Dolinov,1869,1945,director,tt0009750
nm0231608,Jean Dominique,1930,2000,director,"tt0377031,tt0055968,tt0270116"
nm0232379,Dumitru Done,1923,2015,director,"tt0139540,tt0172411"
nm0245878,Yan B. Dyl,1887,1944,director,tt0191909
nm0250864,Harry Eggart,1938,2017,director,"tt0062595,tt0044265,tt0043229,tt0057731"
nm0250873,Viking Eggeling,1880,1925,director,tt0015384
nm0255915,Robert Elwyn,1911,1975,director,"tt0042202,tt14127744,tt0240554"
nm0260703,Jean d' Esme,1883,1966,director,"tt0169967,tt0158933"
nm0267566,Ferenc Farkas,1879,1933,director,tt0241191
nm0269807,Sibtain Fazli,1916,1985,director,"tt0214578,tt0214579,tt0150422,tt0214801"
nm0270217,Valeri Fedosov,1947,\N,director,"tt1503136,tt0307624,tt0189944,tt1503091"
nm0270572,Emmet Feigenberg,1954,\N,director,"tt14540488,tt6393984,tt0217607,tt0213350"
nm0272918,Sérgio Fernandes,1946,\N,director,tt0081141
nm0273986,José Antonio Ferrara,1927,2023,director,"tt0222597,tt0823900,tt0475916,tt0362367"
nm0274179,John Ferraro,1946,2010,director,"tt0118268,tt0363338,tt7013338,tt0063951"
nm0279068,Nina Fischer,1965,\N,director,"tt1159708,tt0215909"
nm0284461,Zoya Fomina,1924,1999,director,"tt0141851,tt0483223,tt0175262"
nm0285092,Jean Fonteyne,1899,1974,director,"tt0281940,tt0281620"
nm0291438,Harry L. Franklin,1880,1927,director,"tt0182680,tt0009665,tt0010955,tt0009817"
nm0295925,Allen Fristoe,1924,2008,director,"tt0048860,tt0057731,tt0062595,tt0048845"
nm0299348,Osamu Fushimizu,1910,1942,director,"tt3345920,tt0440881,tt0126104,tt0174190"
nm0299930,Ram Narayan Gabale,1914,2009,director,"tt3689290,tt0215303,tt0214625,tt0214818"
nm0300962,Charles Gagnon,1934,2003,director,tt0194843
nm0308747,Oliver Garver,1900,1952,director,tt0185365
nm0310424,Vadim Gauzner,1933,1982,director,"tt0170117,tt0072381,tt0069122,tt0082632"
nm0313223,Ernest Genval,1884,1945,director,"tt0258570,tt0264142,tt0263326,tt0264485"
nm0315801,Lino Lionello Ghirardini,1924,2004,director,"tt0172221,tt0172981,tt0172703,tt0172212"
nm0317328,Coky Giedroyc,1962,\N,director,"tt1778108,tt4193072,tt5285494,tt6538034"
nm0318448,David Giles,1926,2010,director,"tt0061253,tt0069639,tt0086667,tt0062857"
nm0322146,Robert Glatzer,1932,2010,director,tt0061265
nm0322900,Michael Gliona,1943,1992,director,"tt0086793,tt0072559,tt0043229,tt0044265"
nm0329066,Edward Goodman,1888,1962,director,tt0022574
nm0340775,Marcel Griaule,1898,1956,director,"tt5643502,tt0210165,tt5643508"
nm0341928,Igor Grigoryev,1944,\N,director,tt0483223
nm0342713,Vitautas Grivickas,1925,1990,director,tt0217431
nm0342911,László Grof,1891,1971,director,tt0174460
nm0343926,Robert Ground,1921,2008,director,tt0062481
nm0346752,Roberto Guidi,1890,1958,director,"tt0188894,tt0191994,tt0192277,tt0191797"
nm0347796,George S. Gullette,1884,\N,director,"tt0183131,tt0183130"
nm0348536,Artur Gural,1963,\N,director,"tt0112918,tt5720330,tt4746832"
nm0353785,Stuart Hagmann,1942,\N,director,"tt0066822,tt0060009,tt0066415,tt0061277"
nm0354432,Tibor Hajas,1946,1980,director,"tt0158395,tt0081254"
nm0355134,Josef Halfen,1922,1984,director,"tt0267276,tt0249809,tt0199115,tt0249415"
nm0356533,Richard Halliburton,1900,1939,director,tt0024178
nm0359371,Herbert Hancock,1879,1942,director,tt0012383
nm0362133,Marie Harder,1898,1936,director,tt0021082
nm0368257,S.F. Hasnain,1912,1956,director,"tt0230413,tt0230720,tt0230897,tt0230140"
nm0369518,Donald Hauser,1946,\N,director,"tt0258889,tt0251490"
nm0369718,Zeev Havatzelet,1923,1962,director,tt0057132
nm0373817,Béla Hegyi,1937,\N,director,tt0110540
nm0378040,César Enríquez,1918,1998,director,"tt0191545,tt0187836,tt5086400,tt0370168"
nm0379380,Iulian Hermeneanu,1923,\N,director,"tt9458138,tt0173325,tt0173033,tt0172250"
nm0380975,Julius Herska,1859,1925,director,"tt0013708,tt1660528,tt1131595,tt1665989"
nm0381892,Elly Heuss-Knapp,1881,1952,director,tt0177881
nm0382360,Hans-Joachim Heyse,1929,2013,director,"tt1116761,tt0236549"
nm0389991,Florica Holban,1928,1996,director,"tt0172095,tt0172603,tt0172087,tt0172266"
nm0390467,Mike Holgate,1949,1992,director,"tt0098835,tt0057741,tt0096702,tt0086699"
nm0394487,R.A. Hopwood,1903,1969,director,"tt10042428,tt0030979,tt0453219,tt10042388"
nm0398614,Liubomir Hristov,1957,\N,director,"tt0425984,tt0282787"
nm0398867,Bingliu Hu,1940,\N,director,"tt0346886,tt0342983,tt0133281,tt0207964"
nm0401596,Pontus Hulten,1924,2006,director,"tt0130861,tt1333047,tt9482850,tt2025548"
nm0401601,Bob Hultgren,1921,1970,director,"tt0165594,tt5266722,tt0057758,tt0197146"
nm0405052,Hyeon-myeong Kim,1955,\N,director,tt0264340
nm0406752,Hirokazu Ichimura,1925,1989,director,"tt0201768,tt0165387,tt3139128,tt3811292"
nm0407058,Aleksandr Igishev,1940,\N,director,"tt0240232,tt0084742,tt1718952,tt0078434"
nm0407743,Victor Iliu,1912,1968,director,"tt0046283,tt0154348,tt0048382,tt0044910"
nm0409617,Marin Iorda,1901,1972,director,"tt0172535,tt0185223,tt0185317,tt0172138"
nm0409828,J. Ian Irby,1975,\N,director,"tt0131462,tt0131595"
nm0412095,Vitali Ivanov,1941,\N,director,"tt6106074,tt1688226,tt6109064,tt6144738"
nm0430782,Joshiy,1952,\N,director,"tt0282629,tt0271816,tt0292142,tt0928191"
nm0431289,Ranko Jovanovic,1883,1966,director,tt0238360
nm0433496,Johannes Järegård,1956,\N,director,tt0173625
nm0436367,Eddie Kamae,1927,2017,director,"tt0270081,tt2498580,tt2498662,tt2498748"
nm0437709,Marek Kanievska,1948,\N,director,"tt0093407,tt0185091,tt0086904,tt0326828"
nm0438572,Walter Kapps,1907,1975,director,"tt0157951,tt0197504,tt0171155,tt0195389"
nm0439669,Nils Karlsson,1930,\N,director,tt0269417
nm0441501,Milton Katselas,1933,2008,director,"tt0068326,tt0070068,tt0073620,tt0080129"
nm0448415,Elly Kenner,1948,\N,director,"tt0317914,tt0086971"
nm0448892,Heinz Kenter,1896,1984,director,"tt0026384,tt5059892"
nm0451780,Pavel Khomsky,1925,2016,director,"tt6171056,tt6315402,tt6099660,tt2942766"
nm0457356,Károly Kiss,1923,1986,director,"tt10415070,tt0145902"
nm0457713,Shaun Kitka,1979,\N,director,tt0210048
nm0459528,Stanislav Klymenko,1954,2008,director,"tt0266095,tt5501024,tt5830198,tt3098234"
nm0461158,Robert Knights,1942,\N,director,"tt0092428,tt0096814,tt0094955,tt0081898"
nm0461328,Gerhard Knoop,1920,2009,director,"tt4793552,tt12333358,tt4710714,tt4762700"
nm0464421,Anna Koltay,1989,\N,director,"tt7107680,tt13849232,tt11439306,tt9181088"
nm0464437,Vitaliy Koltsov,1940,2006,director,"tt0073433,tt0263773,tt0251888,tt0324397"
nm0464647,Theodor Komisarjevsky,1882,1954,director,"tt0009755,tt0019604"
nm0465226,Toshikazu Kôno,1921,1984,director,"tt3416648,tt6021172,tt6021180,tt6021174"
nm0466069,Mstislav Korchagin,1922,1953,director,"tt0046119,tt0047481"
nm0466245,Imola Korhecz,1978,\N,director,"tt0275765,tt0275609"
nm0466554,Vladimir Korolevitch,1895,1969,director,"tt10097398,tt0129179"
nm0468239,Gedeon Kovacs,1931,\N,director,"tt0454413,tt4526678,tt1319158,tt0242211"
nm0468569,Jacek Kowalczyk,1954,\N,director,tt0091122
nm0469338,Vladimir Krajnev,1944,\N,director,"tt0459705,tt1503099,tt2032573,tt6398144"
nm0471421,Robert Kirsch,1961,2001,director,"tt0381271,tt0282608,tt0284098,tt0311109"
nm0471487,R. Krishnan,1909,1997,director,"tt0234700,tt0233650,tt0234959,tt0234066"
nm0474511,Temuri Kuliani,1959,\N,director,tt0274818
nm0474797,Dharam Kumar,1919,1993,director,"tt0214059,tt0214207,tt2761622,tt0176110"
nm0475535,Sulejman Kupusovic,1951,2014,director,"tt0490332,tt0075591,tt1926957,tt1407818"
nm0475715,Nikita Kurikhin,1922,1968,director,"tt0312428,tt0314947,tt0060744,tt0167346"
nm0476956,Boris Kvashnev,1948,\N,director,"tt0103668,tt5790510,tt13840234,tt14577022"
nm0477759,Judit Kóthy,1950,\N,director,"tt28119127,tt0148548"
nm0481552,Jalmari Lahdensuo,1880,1931,director,tt0016231
nm0482518,Valérie Lalonde,1947,\N,director,"tt0270025,tt0454518,tt0265355,tt0265635"
nm0486419,Michael Langham,1919,2011,director,"tt0079379,tt0341777,tt0225087,tt0159876"
nm0490082,Gray Latham,1866,\N,director,"tt0220041,tt0229277,tt0229359"
nm0491557,Eugène Lauste,1857,1935,director,"tt0229277,tt0229359"
nm0493721,Christian Lazarescu,1964,\N,director,tt0192733
nm0497702,Kwang-hoon Lee,1959,\N,director,"tt0377633,tt0140968,tt0298493,tt0293844"
nm0500799,Danilo Lejardi,1947,\N,director,tt0179557
nm0501865,György Lengyel,1936,\N,director,"tt18673626,tt18566318,tt4118206,tt13669276"
