director_id,name,birthYear,deathYear,primaryProfession,knownForTitles
nm0505528,Joseph Levigard,1903,1931,director,"tt0020418,tt0365195,tt0019713,tt0020383"
nm0508876,Rein Liblic,1952,2006,director,"tt5495796,tt0352429,tt0310330,tt0194377"
nm0511602,Gustaf Linden,1875,1936,director,"tt0001717,tt8666800,tt0235364,tt0001380"
nm0511718,John-Lennart Linder,1911,2009,director,tt0037291
nm0513481,Atilio Lipizzi,1867,\N,director,"tt0200005,tt0199515"
nm0516493,Victor Lobl,1940,\N,director,"tt0112178,tt0176357,tt0086822,tt0106145"
nm0519801,Faust Lopatinsky,1899,1937,director,"tt11990438,tt13545156,tt0017513,tt21416262"
nm0525711,Edo Lukman,1949,\N,director,"tt0391866,tt0764232,tt0224190"
nm0526553,Oliver Lundquist,1916,2008,director,tt0036512
nm0529551,Thierry Lécuyer,1957,\N,director,"tt8037106,tt0168432"
nm0529969,Luis López Varona,1968,\N,director,"tt0115904,tt0240508,tt0240399"
nm0531751,Hettie Macdonald,1962,\N,director,"tt0115640,tt0436992,tt2577192,tt2232345"
nm0534391,Robert Roy MacVeigh,1955,1992,director,tt0106755
nm0537361,Kenzô Maihara,1961,\N,director,"tt3786488,tt9033440,tt1526067,tt0997404"
nm0538467,Vladimir Makedonskiy,1940,\N,director,"tt0308422,tt0175925,tt0108013,tt2074470"
nm0538538,Mukadas Makhmudov,1926,1991,director,"tt0089403,tt0294526,tt0175057,tt0312454"
nm0541921,Datta Mane,1922,1980,director,"tt0238240,tt0238495,tt0238365,tt0238637"
nm0552726,Marcel Martin,1942,\N,director,"tt0341800,tt0220493,tt0270313"
nm0554408,Sergey Martyanov,1954,\N,director,"tt1527632,tt0300351,tt0100832"
nm0554867,Jorge Martínez Isaac,1923,\N,director,tt0258090
nm0556447,John Nevil Maskelyne,1839,1917,director,"tt13905732,tt0193339,tt2144330"
nm0559597,Hiroki Matsuno,1925,\N,director,"tt10168524,tt0203635"
nm0567351,John L. McCutcheon,1883,1953,director,"tt0484606,tt0015057,tt0403293,tt0014250"
nm0575984,Natalya Medyuk,1946,\N,director,tt0151230
nm0576850,Bob Meillon,1943,2012,director,"tt0094481,tt0082201,tt0081875,tt0086689"
nm0581779,Titus Mesaros,1925,2006,director,"tt0136400,tt0172085,tt0172588,tt0140503"
nm0583444,Franziska Meyer Price,1962,\N,director,"tt3954222,tt0312097,tt1801809,tt1792646"
nm0589929,Brian Mills,1933,2006,director,"tt0053494,tt1767257,tt0163939,tt0072489"
nm0592551,Lev Mirsky,1925,1996,director,"tt0177880,tt0190859,tt5598144,tt0414640"
nm0593889,Anthony Mithradas,1913,2017,director,"tt0214504,tt26742893,tt26741410,tt15083794"
nm0598163,Sergio Moniz,1935,\N,director,"tt0193055,tt0059614,tt0193471"
nm0598549,Paul Monroe,1910,1987,director,"tt0042168,tt0143077,tt0042117"
nm0600503,Laurence Moody,1948,\N,director,"tt0068069,tt0088621,tt0334874,tt8514236"
nm0603050,Edward A. Morange,1865,1955,director,tt0004037
nm0606781,Martin Morris,1936,2022,director,"tt0185408,tt0080293,tt0283244"
nm0607940,Cavendish Morton,1874,1939,director,tt0006471
nm0608384,Ion Moscu,1926,2009,director,"tt0172084,tt0172167,tt0172864,tt0172200"
nm0609678,Alfred Moul,1852,1924,director,tt0000121
nm0610798,Mariya Muat,1951,\N,director,"tt4146004,tt0374349,tt1293812,tt3110614"
nm0611581,Saumyen Mukherji,1915,\N,director,"tt0245408,tt0155972,tt0244972,tt0245073"
nm0612752,Ducho Mundrov,1920,2012,director,"tt0151249,tt0253488,tt0309776,tt0172322"
nm0613606,Shinobu Murata,1950,\N,director,"tt5471744,tt8182604,tt0298136,tt0190368"
nm0615480,Murugadasa,1900,\N,director,"tt0245310,tt0245349,tt0245002,tt0245264"
nm0616713,Frank Myers,1909,\N,director,tt0141563
nm0617038,Georgi Mylnikov,1937,2000,director,tt0237529
nm0621265,A. Narayan,1900,1939,director,"tt0247373,tt0247721,tt0247464,tt0247463"
nm0621872,Boris Nashchekin,1938,1993,director,tt0237590
nm0624412,Dinu Negreanu,1917,2004,director,"tt0154125,tt0137159,tt0155097,tt0154948"
nm0627561,Valentin Nevzorov,1918,1961,director,"tt3493842,tt0049149"
nm0631407,Gleb Nifontov,1922,1991,director,"tt0146363,tt3069768"
nm0631714,Oleg Nikitin,1946,\N,director,"tt0082860,tt5476268,tt0264095"
nm0633721,Roberto Nobre,1903,1969,director,tt0015676
nm0637450,Jan Nowina-Przybylski,1902,1938,director,"tt0025476,tt0027231,tt0027897,tt0029065"
nm0638267,Erich Nussbaum,1934,2011,director,"tt0172251,tt0173177,tt0172108,tt0172197"
nm0639069,Antal Németh,1903,1968,director,tt0037036
nm0642610,John O'Shaughnessy,1907,1985,director,tt0221565
nm0647849,Ilya Olshvanger,1923,1979,director,"tt0059493,tt0062508,tt1779836"
nm0659549,S. Panju,1915,1984,director,"tt0233650,tt0234959,tt0234066,tt0234700"
nm0664147,Henry-Alexandre Parys,1901,\N,director,"tt0259071,tt0258808,tt0263799,tt0263823"
nm0664565,Aleksandr Pashovkin,1947,\N,director,"tt0231655,tt0275730"
nm0665570,Pittamandalam Venktatachalapathy Pathy,1906,1961,director,"tt0251318,tt0251028,tt0251136,tt0251117"
nm0666612,Phil Patton,1910,1972,director,tt0135558
nm0670522,Leonard Peikoff,1933,\N,director,"tt11366726,tt0118662"
nm0672687,Perla Peragallo,1943,2007,director,tt0192951
nm0674455,Valentin Perov,1936,\N,director,"tt0199793,tt0191415"
nm0675968,Ted Peshak,1917,2005,director,"tt0257534,tt0257535,tt0257503,tt0257691"
nm0677494,György Pethes,1934,1999,director,"tt0125110,tt11271718,tt6942050,tt8800342"
nm0678209,Yuriy Petrov,1925,2012,director,"tt0347716,tt5038596"
nm0678549,Ann-Margret Pettersson,1938,\N,director,"tt0200517,tt11011400"
nm0679349,Barbara Pfeffer,1934,1999,director,tt0202930
nm0680714,R.W. Phillips,1890,\N,director,"tt0235234,tt0235594,tt1454101,tt0235687"
nm0686859,George Foster Platt,1866,1928,director,"tt0005493,tt0157650,tt0010061,tt0005551"
nm0689918,Aleksei Polyakov,1940,2014,director,"tt5738652,tt0251918,tt5460406"
nm0691241,Mircea Popescu,1926,\N,director,"tt0172363,tt0173499,tt0173303,tt0173590"
nm0691488,Slavomir Popovici,1930,\N,director,"tt0173397,tt0173598,tt0172020,tt0172366"
nm0692722,Lindsay Posner,1959,\N,director,"tt4106356,tt0298685,tt1610014"
nm0695173,Raghupati Surya Prakash Naidu,1901,1956,director,"tt0254747,tt0254810,tt0254211,tt0254208"
nm0700393,Chittajalu Pullayya,1898,1967,director,"tt0206877,tt0255459,tt0254982,tt0254999"
nm0700572,Ratilal Hemchand Punatar,1913,\N,director,"tt0256042,tt0256230,tt0256064,tt0256172"
nm0701414,Vladimir Pyavko,1941,2020,director,tt0262079
nm0713622,Stanislav Razdorsky,1946,\N,director,"tt0103068,tt18988156"
nm0714351,Carlos Rebolledo,1932,\N,director,"tt0070870,tt0077144,tt0089842,tt0195110"
nm0716401,Dan Regan,1977,\N,director,tt0784889
nm0718969,Oleg Remizov,1954,\N,director,"tt0094259,tt27470660"
nm0718972,Aleksandra Remizova,1903,1989,director,"tt5885136,tt0067472,tt6150176,tt6190266"
nm0719886,Nicholas Renton,1946,\N,director,"tt0215364,tt0437013,tt1025103,tt0313544"
nm0726813,Fernand Rigot,1894,1981,director,"tt0282104,tt0281934"
nm0729109,Ray Rivas,1936,\N,director,"tt0076405,tt0244276,tt0365874"
nm0733542,Bernardo Roca Rey,1918,\N,director,"tt0185449,tt1561435"
nm0735435,Martin Rodriguez,1967,\N,director,"tt0483307,tt0206694"
nm0738578,Gary Roma,1965,\N,director,"tt0145162,tt0145419"
nm0740107,Wincenty Ronisz,1934,2017,director,tt0177300
nm0742691,Gertrude Rosenstein,1926,2004,director,tt0197146
nm0752948,Anatoli Rybakov,1919,1962,director,"tt0046566,tt0053406,tt0049133,tt0176068"
nm0753541,Janusz Rzeszewski,1930,2007,director,"tt0093547,tt0077650,tt0082751,tt0091389"
nm0756322,Ion Sahighian,1897,1965,director,"tt0173180,tt0163760,tt0173197,tt0164118"
nm0762667,Eugene Sanger,1871,1946,director,tt0233821
nm0762780,Aleksandr Sanin,1869,1956,director,"tt0219645,tt0228885,tt0013501"
nm0765456,Igor Sorokhtin,1898,1959,director,"tt21997808,tt0129009,tt0234153,tt21989630"
nm0768150,David H. Sawyer,1936,1995,director,tt0064773
nm0768939,Joseph L. Scanlan,1929,2020,director,"tt0092455,tt0112111,tt0096684,tt0292515"
nm0775088,Charles Schram,1851,1909,director,"tt0272915,tt0272452"
nm0777682,Heinz Wilhelm Schwarz,1927,2004,director,"tt0336243,tt0174411,tt0059990,tt1278155"
nm0779212,Harold Scott,1935,2006,director,tt0159876
nm0782262,Kai Sehr,1965,\N,director,"tt1851905,tt1733581,tt0250750"
nm0783091,Inessa Seleznyova,1929,2006,director,"tt0090504,tt0069076,tt0141705,tt0334657"
nm0784006,Hiralal Sen,1868,1917,director,"tt0332568,tt0332731,tt0332730,tt0332633"
nm0784037,Satu Sen,1902,1972,director,"tt0026681,tt0390974,tt0367467,tt0274790"
nm0785142,Rollan Sergienko,1936,2020,director,"tt0312457,tt0261275,tt26733698,tt0319700"
nm0785596,Nina Serrano,1934,\N,director,"tt0376573,tt0066614"
nm0787222,Boris Shadurskiy,1948,\N,director,tt5247430
nm0787975,Will Shanahan,1961,\N,director,"tt20419666,tt0213345,tt3258570"
nm0792926,Vladimir Shevchenko,1929,1987,director,"tt0264765,tt0230650,tt7169060,tt7154796"
nm0795811,Robert H. Shumaker,1933,\N,director,"tt0176093,tt0427901,tt21847060,tt0094416"
nm0795982,Solomon Shuster,1934,1995,director,"tt0309762,tt0129031,tt0263806,tt0230756"
nm0796259,Gheorghe Sibianu,1927,2007,director,"tt0172587,tt0139685,tt0174043,tt0134774"
nm0797924,Roxana Silbert,1966,\N,director,"tt0177767,tt3198920,tt0297643"
nm0814118,George Somnes,1887,1956,director,"tt0025972,tt0024065,tt0024333,tt0024685"
nm0817811,Richard Spence,1957,\N,director,"tt0297626,tt0094525,tt0116102,tt0174982"
nm0821500,Walter Richard Stahl,1887,\N,director,"tt0008050,tt0185764"
nm0821641,Chuck Staley,1931,\N,director,tt0075886
nm0827837,Rudi Stern,1936,2006,director,tt0263417
nm0828666,Norman L. Stevens,1893,1955,director,tt0135487
nm0832948,Percy Stow,1876,1919,director,"tt1228723,tt0458019,tt0183426,tt0285307"
nm0834731,Thomas Strobl,1967,\N,director,"tt0157735,tt0157861,tt0158341,tt0157265"
nm0836034,George Ernest Studdy,1878,1948,director,"tt0139896,tt4185436,tt0140628,tt0139978"
nm0839351,Masahisa Sunohara,1906,\N,director,"tt0867476,tt7109198,tt2513640,tt0362240"
nm0839559,Stefan Surchadzhiev,1912,1965,director,"tt0346074,tt0312902,tt0344765,tt0342533"
nm0844282,Karl Sztollar,1900,\N,director,tt0042633
nm0846429,Gene Taft,1939,1987,director,tt0086974
nm0846864,Aleksandr Tairov,1885,1950,director,tt0210856
nm0851305,Dave Tatsuno,1913,2006,director,"tt0785046,tt0038180"
nm0853472,Jean-Michel Tchissoukou,1942,\N,director,"tt0065881,tt0080517,tt0084283"
nm0856250,Richard Teschner,1879,1948,director,tt0019198
nm0858092,Georg Thieß,1914,2001,director,"tt0163682,tt0437546"
nm0858699,David Thomas,1976,\N,director,tt0303636
nm0859691,Harry Thomashefsky,1895,1993,director,tt0026010
nm0863822,Ion Timus,1890,1969,director,tt0172759
nm0863861,André Tinchant,1896,\N,director,tt0020558
nm0865138,Christopher Todd,1961,1992,director,tt0094512
nm0866455,Anton Tomasic,1937,\N,director,"tt0152067,tt0114218,tt0249664,tt0843998"
nm0869086,Naoko Tosa,1961,\N,director,"tt5423426,tt5423410,tt5423412,tt5423406"
nm0869624,Kitia Toure,1956,2012,director,tt0087077
nm0873605,Vladlen Troshkin,1930,2015,director,tt0191844
nm0881910,Carlos Eduardo Uribe,1944,\N,director,tt0201433
nm0882127,Henri d' Ursel,1900,1974,director,tt0263857
nm0884732,Danny Walin,1940,2012,director,"tt6811208,tt2326779,tt0077108,tt1600249"
nm0887848,Karel Van Rijn,1877,1953,director,tt0222400
nm0891959,Giuseppe Veggezzi,1929,\N,director,tt0276499
nm0893352,Miguel Ventura,1984,\N,director,tt0203069
nm0894554,Per Verner-Carlsson,1925,2004,director,tt0170715
nm0899151,Mikhail Vinyarsky,1912,1977,director,"tt0357843,tt0048704,tt5091828"
nm0902304,Arthur von Gerlach,1876,1925,director,"tt0016563,tt0013728"
nm0903609,Maarten de Vos,1941,2012,director,tt0070462
nm0905699,Doug Wager,1949,\N,director,tt0211157
nm0906102,S.O. Wagner,1902,1975,director,tt0271922
nm0906859,Tina Wakerell,1930,2017,director,"tt0165054,tt1058784,tt0159194,tt0059963"
nm0906924,Maria Walbom,1966,\N,director,tt0230942
nm0913230,Dave Warwick,1923,\N,director,"tt0204112,tt0053494,tt0315707,tt2447712"
nm0915338,Marquis de Wavrin,1888,1971,director,"tt0258870,tt0259000,tt0258681,tt0258498"
nm0922192,Langdon West,1886,1947,director,"tt0421955,tt1183294,tt0340267,tt0005970"
nm0923789,Cliff Wheeler,1894,1979,director,"tt0447192,tt0018701,tt0132297,tt0018786"
nm0926669,F. Stuart Whyte,1877,1947,director,"tt0357213,tt0016196"
nm0932997,Andrew P. Wilson,1886,\N,director,"tt0323148,tt0312557,tt0323827,tt0254323"
nm0937656,Alfred Wolf,1915,2004,director,tt0151421
nm0940400,William Woodman,1932,1995,director,"tt0072559,tt0176357,tt0056752,tt0827189"
nm0944471,Xiangyuan Yu,1947,\N,director,"tt2109086,tt6448718,tt5862362,tt0357175"
nm0945137,Mikhail Yakzhen,1949,\N,director,"tt0263904,tt0103318"
nm0946389,James P. Yarbrough,1918,1962,director,"tt0052463,tt0055661,tt0042123,tt0042141"
nm0947653,Vladimir Erofeyev,1898,1940,director,tt0129286
nm0947671,Mikhail Yershov,1924,2004,director,"tt0144111,tt0130223,tt0351563,tt0263196"
nm0953946,Natalya Zbandut,1946,2010,director,"tt0258968,tt3054268,tt0437355,tt0239434"
nm0958449,Steve Zuckerman,1947,\N,director,"tt0108778,tt0131685,tt0094455,tt0088526"
nm0971655,Philip Minor,1927,1991,director,tt0078626
nm0994256,Sai Balaji,1964,2021,director,"tt7889170,tt1575680,tt0285845"
nm0994285,Dirk B.G. Driksen,1937,2006,director,tt0285510
nm0994311,T.J. Gobbett,1882,1915,director,"tt0285064,tt0284955,tt0295533,tt2063574"
nm0994377,Frantisek Mudra,1933,2004,director,"tt0284795,tt4662690,tt2195319,tt6352402"
nm0996540,Nikolaus Brender,1949,\N,director,"tt0326851,tt1039883,tt0286405,tt6453112"
nm1001319,Alberto Carlo Lolli,1876,\N,director,"tt0922904,tt0794312,tt1175241,tt0922993"
nm10071364,Alois Hajda,1928,2021,director,"tt14240938,tt15204780,tt8892150"
nm1008310,Eldora Traykova,1956,\N,director,"tt0461824,tt5353138,tt13620070,tt0470519"